City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
183,Beyneu,KZ,2022-10-25 23:15:26,45.3167,55.2,49.05,78,82,15.46,broken clouds
184,Nuuk,GL,2022-10-25 23:15:27,64.1835,-51.7216,30.81,100,75,6.91,broken clouds
185,Carnarvon,AU,2022-10-25 23:15:27,-24.8667,113.6333,64.47,59,0,21.85,clear sky
186,Sira,IN,2022-10-25 23:15:27,13.7453,76.9092,66.67,72,22,4.25,few clouds
187,Ahuimanu,US,2022-10-25 23:15:28,21.4447,-157.8378,87.51,71,40,19.57,light rain
188,Wajir,KE,2022-10-25 23:15:29,1.7471,40.0573,78.15,67,92,14.72,overcast clouds
189,Norman Wells,CA,2022-10-25 23:15:30,65.282,-126.8329,19.44,93,75,4.61,broken clouds
190,Chuy,UY,2022-10-25 23:15:31,-33.6971,-53.4616,59.36,84,11,11.43,few clouds
191,Narsaq,GL,2022-10-25 23:15:32,60.9167,-46.05,26.82,71,0,7.23,clear sky
192,Barra Patuca,HN,2022-10-25 23:15:33,15.8,-84.2833,80.62,76,69,8.08,broken clouds
193,Derzhavinsk,KZ,2022-10-25 23:15:33,51.1,66.3167,37.33,63,100,6.76,overcast clouds
194,Puerto Ayora,EC,2022-10-25 23:15:36,-0.7393,-90.3518,67.55,92,83,4.0,broken clouds
195,Kahului,US,2022-10-25 23:15:37,20.8947,-156.47,89.62,62,20,24.16,few clouds
196,Grand Gaube,MU,2022-10-25 23:15:37,-20.0064,57.6608,72.37,72,43,4.0,scattered clouds
197,Celestun,MX,2022-10-25 23:15:38,20.8667,-90.4,81.55,81,93,12.1,overcast clouds
198,Kununurra,AU,2022-10-25 23:15:39,-15.7667,128.7333,85.98,79,10,0.0,clear sky
199,Ahipara,NZ,2022-10-25 23:15:39,-35.1667,173.1667,65.23,56,42,9.26,scattered clouds
200,Salvador,SV,2022-10-25 23:11:52,13.8333,-88.9167,79.05,92,99,2.39,overcast clouds
201,Beihai,CN,2022-10-25 23:15:40,21.4833,109.1,73.08,84,42,12.68,scattered clouds
202,Yulara,AU,2022-10-25 23:15:41,-25.2406,130.9889,72.82,35,0,11.21,clear sky
203,Alappuzha,IN,2022-10-25 23:15:42,9.49,76.3264,75.0,82,37,4.21,scattered clouds
204,Yacuiba,BO,2022-10-25 23:15:42,-22.038,-63.6797,88.03,34,60,12.66,broken clouds
205,Lexington,US,2022-10-25 23:15:35,37.9887,-84.4777,74.12,47,20,11.5,few clouds
206,Comodoro Rivadavia,AR,2022-10-25 23:15:43,-45.8667,-67.5,57.06,47,40,10.36,scattered clouds
207,San Juan,AR,2022-10-25 23:15:43,-31.5375,-68.5364,83.14,17,66,3.76,broken clouds
208,Raudeberg,NO,2022-10-25 23:15:44,61.9875,5.1352,50.67,1,100,16.2,overcast clouds
