City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Bagotville,AU,2022-10-23 03:08:40,-28.9833,153.4167,69.69,99,100,17.56
213,Upata,VE,2022-10-23 03:08:40,8.0086,-62.3989,72.55,93,29,3.09
214,Lasa,IT,2022-10-23 03:08:41,46.6166,10.7002,46.36,94,72,2.39
215,Kosh-Agach,RU,2022-10-23 03:08:41,50.0,88.6667,37.92,47,47,4.92
216,Ravar,IR,2022-10-23 03:08:42,31.2656,56.8055,66.61,20,0,2.1
217,Ngunguru,NZ,2022-10-23 03:08:42,-35.6167,174.5,59.94,58,0,6.71
218,Port Hardy,CA,2022-10-23 03:08:43,50.6996,-127.4199,47.35,78,16,12.62
219,Cherskiy,RU,2022-10-23 03:08:43,68.75,161.3,13.62,95,100,9.93
220,Ramkola,IN,2022-10-23 03:08:43,26.9042,83.8411,74.88,52,0,5.55
221,Kahului,US,2022-10-23 03:08:44,20.8947,-156.47,87.82,56,0,21.85
222,Kurilsk,RU,2022-10-23 03:08:44,45.2333,147.8833,46.13,86,85,23.02
223,Belyy Yar,RU,2022-10-23 03:09:45,53.6039,91.3903,39.09,93,0,0.0
224,Praia,CV,2022-10-23 03:09:45,14.9215,-23.5087,79.34,50,0,12.66
225,Mahibadhoo,MV,2022-10-23 03:09:46,3.7833,72.9667,81.75,78,100,16.51
226,Natal,BR,2022-10-23 03:08:45,-5.795,-35.2094,77.4,78,11,10.09
227,Samur,RU,2022-10-23 03:09:47,41.8253,48.486,52.14,88,100,3.83
228,Isangel,VU,2022-10-23 03:09:47,-19.55,169.2667,76.8,73,97,20.33
229,Olafsvik,IS,2022-10-23 03:09:48,64.8945,-23.7142,41.59,84,100,8.41
230,Obukhiv,UA,2022-10-23 03:09:48,50.11,30.6227,46.6,89,100,3.02
231,Seydisehir,TR,2022-10-23 03:09:15,37.4193,31.8453,38.91,51,0,3.36
232,Mae Sai,TH,2022-10-23 03:09:49,20.4335,99.8762,83.71,50,7,3.44
233,Samarai,PG,2022-10-23 03:09:49,-10.6167,150.6667,82.13,73,17,4.76
234,Toora-Khem,RU,2022-10-23 03:09:50,52.4675,96.11,41.04,50,28,3.29
235,Khatassy,RU,2022-10-23 03:09:50,61.9036,129.6383,26.58,86,100,4.94
236,Vestmanna,FO,2022-10-23 03:09:50,62.1564,-7.1664,41.92,81,75,5.75
237,Lompoc,US,2022-10-23 03:09:51,34.6391,-120.4579,61.57,82,75,11.5
238,Tomatlan,MX,2022-10-23 03:09:51,19.9333,-105.25,72.93,96,100,9.33
239,Peleduy,RU,2022-10-23 03:09:52,59.6289,112.7406,35.56,76,99,8.66
240,Bathsheba,BB,2022-10-23 03:04:59,13.2167,-59.5167,81.21,83,20,9.22
241,Snasa,NO,2022-10-23 03:09:52,64.2457,12.3778,38.61,99,100,4.9
242,Iquique,CL,2022-10-23 03:09:53,-20.2208,-70.1431,59.04,68,1,4.34
243,Kudahuvadhoo,MV,2022-10-23 03:09:31,2.6708,72.8944,81.66,71,91,14.85
244,Garowe,SO,2022-10-23 03:09:53,8.4054,48.4845,74.46,77,73,8.23
245,Umea,SE,2022-10-23 03:09:54,63.8284,20.2597,39.13,81,20,10.36
246,Nome,US,2022-10-23 03:07:07,64.5011,-165.4064,39.27,82,100,20.71
247,Isiro,CD,2022-10-23 03:09:54,2.7739,27.616,65.66,99,89,0.63
248,Merauke,ID,2022-10-23 03:09:55,-8.4667,140.3333,86.23,67,48,9.33
249,Comodoro Rivadavia,AR,2022-10-23 03:09:55,-45.8667,-67.5,58.37,28,39,6.15
250,Santo Antonio Do Leverger,BR,2022-10-23 03:09:56,-15.8656,-56.0767,73.04,90,100,1.1
251,Puri,IN,2022-10-23 03:09:56,19.8,85.85,79.32,71,92,17.52
252,Shamary,RU,2022-10-23 03:09:57,57.3434,58.2199,25.23,88,76,7.54
253,Linqiong,CN,2022-10-23 03:09:57,30.4159,103.4609,72.95,55,85,1.72
254,Sawtell,AU,2022-10-23 03:09:58,-30.3833,153.1,68.18,88,100,10.36
255,Maldonado,UY,2022-10-23 03:09:58,-34.6667,-54.9167,53.22,95,100,12.93
256,Novyy Urengoy,RU,2022-10-23 03:09:59,66.0833,76.6333,28.47,83,77,15.39
257,El Alto,PE,2022-10-23 03:09:59,-4.2714,-81.2147,61.52,88,100,15.86
258,Bonavista,CA,2022-10-23 03:10:00,48.6499,-53.1147,50.36,80,0,16.13
259,Severobaykalsk,RU,2022-10-23 03:10:00,55.65,109.3167,32.72,91,100,2.21
260,Chapais,CA,2022-10-23 03:10:01,49.7834,-74.8492,43.14,90,67,3.49
261,Okitipupa,NG,2022-10-23 03:10:02,6.5047,4.7839,73.53,97,43,1.12
262,Halifax,CA,2022-10-23 03:10:02,44.6453,-63.5724,55.22,94,94,3.0
263,Bayir,TR,2022-10-23 03:10:03,37.2687,28.2167,39.72,24,0,2.48
264,Vestmannaeyjar,IS,2022-10-23 03:10:03,63.4427,-20.2734,42.31,78,100,19.8
265,Ponta Delgada,PT,2022-10-23 03:10:04,37.7333,-25.6667,65.12,68,40,12.66
266,Carlisle,US,2022-10-23 03:08:45,40.2015,-77.1889,52.18,73,100,1.39
267,Urumqi,CN,2022-10-23 03:08:01,43.801,87.6005,47.35,53,0,2.24
268,Tasiilaq,GL,2022-10-23 03:10:05,65.6145,-37.6368,32.16,95,99,6.38
269,San Policarpo,PH,2022-10-23 03:10:05,12.1791,125.5072,82.99,82,61,6.53
270,Todos Santos,MX,2022-10-23 03:10:06,23.45,-110.2167,75.65,81,100,8.14
271,Dancheng,CN,2022-10-23 03:11:06,33.6333,115.1833,71.69,41,3,7.29
272,Borazjan,IR,2022-10-23 03:11:06,29.2666,51.2159,77.4,37,0,1.3
273,Quelimane,MZ,2022-10-23 03:11:07,-17.8786,36.8883,75.6,85,2,8.59
274,Berbera,SO,2022-10-23 03:11:07,10.4396,45.0143,81.5,75,33,2.93
275,Cortez,US,2022-10-23 03:11:08,37.3489,-108.5859,58.03,40,0,10.36
276,Mount Gambier,AU,2022-10-23 03:11:08,-37.8333,140.7667,56.05,75,100,12.97
277,Gouyave,GD,2022-10-23 03:11:09,12.1646,-61.7296,80.92,80,4,13.33
278,Burns Lake,CA,2022-10-23 03:11:09,54.2331,-125.7533,31.89,71,17,3.29
279,Mont-De-Marsan,FR,2022-10-23 03:11:10,44.0,-0.6667,74.68,82,99,3.44
280,Port Blair,IN,2022-10-23 03:11:10,11.6667,92.75,79.79,89,100,22.55
281,Gao,ML,2022-10-23 03:11:11,16.6362,1.637,76.48,17,90,17.16
282,Kysyl-Syr,RU,2022-10-23 03:11:11,63.8986,122.7617,26.04,90,99,4.63
283,Starkville,US,2022-10-23 03:09:43,33.4504,-88.8184,64.27,73,20,8.05
284,Kieta,PG,2022-10-23 03:11:12,-6.2167,155.6333,82.89,79,75,6.02
285,Gigmoto,PH,2022-10-23 03:11:12,13.7796,124.39,84.31,80,96,7.31
286,Yamada,JP,2022-10-23 03:11:13,39.4667,141.95,62.91,68,54,5.01
287,Labuan,MY,2022-10-23 03:11:13,5.2767,115.2417,81.12,80,100,5.32
288,Mecca,SA,2022-10-23 03:11:14,21.4267,39.8261,76.66,64,0,0.72
289,Srednekolymsk,RU,2022-10-23 03:11:14,67.45,153.6833,6.64,90,95,10.87
290,Bumba,CD,2022-10-23 03:11:15,2.1833,22.4667,69.85,94,58,2.51
291,Nouadhibou,MR,2022-10-23 03:10:59,20.931,-17.0347,69.71,88,8,20.2
292,Spring Valley,US,2022-10-23 03:10:27,36.108,-115.245,71.55,39,40,24.16
293,Carnarvon,AU,2022-10-23 03:11:16,-24.8667,113.6333,73.44,61,0,10.71
294,Itaueira,BR,2022-10-23 03:11:17,-7.6033,-43.0256,80.35,44,25,3.42
